#rank	protein_a	protein_b	d_AB	s_AB
1	PB1	PB2	1.04794520548	-1.53511479838
2	PA	PB1	1.06153846154	-1.52053315586
3	NEP	PB1	1.06818181818	-1.47864259029
4	NEP	PA	1.08035714286	-1.44579915698
5	PA	PB2	1.125	-1.43739189523
6	NEP	PB2	1.265625	-1.2615196863
7	NEP	NS1	1.3671875	-1.09657690461
8	NS1	PB2	1.40972222222	-1.09027777778
9	NS1	PB1	1.45890410959	-1.06077561258
10	HA	NA	1.35582822086	-0.941273228416
11	M2	NA	1.45812807882	-0.884313085921
12	NS1	PA	1.78125	-0.717761613541
13	NA	NS1	1.69696969697	-0.716992336098
14	HA	M2	1.54494382022	-0.703294445963
15	HA	NS1	1.66197183099	-0.657787303531
16	M2	NS1	1.76111111111	-0.60398773887
17	M2	PB2	1.88888888889	-0.539590242782
18	NA	PB2	1.99393939394	-0.483402920819
19	HA	PB1	1.93055555556	-0.47226358282
20	M2	PB1	1.97826086957	-0.469897984274
21	HA	PB2	1.91549295775	-0.467646458461
22	NA	PB1	2.08383233533	-0.413189701597
23	HA	NEP	1.95238095238	-0.394522868436
24	M2	PA	2.07228915663	-0.355201588585
25	M2	NEP	2.04819277108	-0.344050765196
26	NA	NEP	2.14093959732	-0.300167122052
27	HA	PA	2.0873015873	-0.294849442447
28	NA	PA	2.24832214765	-0.228031780648
